season,teamsk,teamname,opponentsk,opponentname,matchesplayed,wins,losses,noresults,runsscored,runsconceded,ingestionts
2012,7,Kolkata Knight Riders,2,Deccan Chargers,1,1,0,0,127,126,2026-01-07T06:37:18.867Z
2013,9,Kings XI Punjab,6,Royal Challengers Bangalore,2,2,0,0,370,364,2026-01-07T06:37:18.867Z
2014,4,Rajasthan Royals,6,Royal Challengers Bangalore,2,2,0,0,262,260,2026-01-07T06:37:18.867Z
2017,6,Royal Challengers Bangalore,8,Rising Pune Supergiants,2,0,2,0,230,318,2026-01-07T06:37:18.867Z
2008,11,Delhi Daredevils,7,Kolkata Knight Riders,1,0,1,0,110,133,2026-01-07T06:37:18.867Z
2011,6,Royal Challengers Bangalore,7,Kolkata Knight Riders,2,2,0,0,280,260,2026-01-07T06:37:18.867Z
2015,12,Mumbai Indians,11,Delhi Daredevils,2,1,1,0,306,342,2026-01-07T06:37:18.867Z
2016,5,Gujarat Lions,12,Mumbai Indians,2,2,0,0,320,315,2026-01-07T06:37:18.867Z
2015,9,Kings XI Punjab,0,Sunrisers Hyderabad,2,0,2,0,310,335,2026-01-07T06:37:18.867Z
2010,9,Kings XI Punjab,7,Kolkata Knight Riders,2,1,1,0,348,383,2026-01-07T06:37:18.867Z
2013,7,Kolkata Knight Riders,9,Kings XI Punjab,2,1,1,0,303,306,2026-01-07T06:37:18.867Z
2009,7,Kolkata Knight Riders,1,Chennai Super Kings,1,1,0,0,189,188,2026-01-07T06:37:18.867Z
2009,11,Delhi Daredevils,12,Mumbai Indians,2,2,0,0,284,281,2026-01-07T06:37:18.867Z
2014,12,Mumbai Indians,9,Kings XI Punjab,2,2,0,0,329,324,2026-01-07T06:37:18.867Z
2013,0,Sunrisers Hyderabad,11,Delhi Daredevils,2,2,0,0,196,194,2026-01-07T06:37:18.867Z
2017,5,Gujarat Lions,9,Kings XI Punjab,2,1,1,0,354,377,2026-01-07T06:37:18.867Z
2016,12,Mumbai Indians,7,Kolkata Knight Riders,2,2,0,0,366,361,2026-01-07T06:37:18.867Z
2016,12,Mumbai Indians,6,Royal Challengers Bangalore,2,2,0,0,324,321,2026-01-07T06:37:18.867Z
2008,12,Mumbai Indians,9,Kings XI Punjab,2,0,2,0,304,371,2026-01-07T06:37:18.867Z
2016,11,Delhi Daredevils,9,Kings XI Punjab,2,1,1,0,285,292,2026-01-07T06:37:18.867Z
2009,7,Kolkata Knight Riders,12,Mumbai Indians,2,0,2,0,234,335,2026-01-07T06:37:18.867Z
2008,9,Kings XI Punjab,6,Royal Challengers Bangalore,2,2,0,0,271,269,2026-01-07T06:37:18.867Z
2009,7,Kolkata Knight Riders,4,Rajasthan Royals,2,1,1,0,252,251,2026-01-07T06:37:18.867Z
2011,10,Pune Warriors,3,Kochi Tuskers Kerala,1,1,0,0,151,148,2026-01-07T06:37:18.867Z
2011,6,Royal Challengers Bangalore,11,Delhi Daredevils,1,1,0,0,161,160,2026-01-07T06:37:18.867Z
2013,4,Rajasthan Royals,9,Kings XI Punjab,2,2,0,0,273,269,2026-01-07T06:37:18.867Z
2013,11,Delhi Daredevils,1,Chennai Super Kings,2,0,2,0,218,337,2026-01-07T06:37:18.867Z
2016,5,Gujarat Lions,9,Kings XI Punjab,2,1,1,0,293,315,2026-01-07T06:37:18.867Z
2009,9,Kings XI Punjab,1,Chennai Super Kings,2,0,2,0,266,301,2026-01-07T06:37:18.867Z
2010,11,Delhi Daredevils,12,Mumbai Indians,2,0,2,0,264,401,2026-01-07T06:37:18.867Z
2010,11,Delhi Daredevils,2,Deccan Chargers,2,0,2,0,295,316,2026-01-07T06:37:18.867Z
2012,11,Delhi Daredevils,2,Deccan Chargers,2,2,0,0,355,344,2026-01-07T06:37:18.867Z
2013,4,Rajasthan Royals,0,Sunrisers Hyderabad,3,2,1,0,394,412,2026-01-07T06:37:18.867Z
2017,12,Mumbai Indians,5,Gujarat Lions,2,2,0,0,330,329,2026-01-07T06:37:18.867Z
2008,12,Mumbai Indians,1,Chennai Super Kings,2,1,1,0,360,364,2026-01-07T06:37:18.867Z
2015,6,Royal Challengers Bangalore,11,Delhi Daredevils,2,1,0,1,101,282,2026-01-07T06:37:18.867Z
2010,6,Royal Challengers Bangalore,12,Mumbai Indians,3,1,2,0,438,526,2026-01-07T06:37:18.867Z
2011,9,Kings XI Punjab,3,Kochi Tuskers Kerala,1,1,0,0,181,178,2026-01-07T06:37:18.867Z
2014,11,Delhi Daredevils,12,Mumbai Indians,2,1,1,0,284,298,2026-01-07T06:37:18.867Z
2014,7,Kolkata Knight Riders,1,Chennai Super Kings,2,1,1,0,270,302,2026-01-07T06:37:18.867Z
2016,11,Delhi Daredevils,0,Sunrisers Hyderabad,2,2,0,0,311,304,2026-01-07T06:37:18.867Z
2011,2,Deccan Chargers,7,Kolkata Knight Riders,2,0,2,0,303,332,2026-01-07T06:37:18.867Z
2015,7,Kolkata Knight Riders,12,Mumbai Indians,2,1,1,0,336,339,2026-01-07T06:37:18.867Z
2009,11,Delhi Daredevils,7,Kolkata Knight Riders,2,2,0,0,282,277,2026-01-07T06:37:18.867Z
2011,6,Royal Challengers Bangalore,3,Kochi Tuskers Kerala,2,2,0,0,290,286,2026-01-07T06:37:18.867Z
2008,11,Delhi Daredevils,12,Mumbai Indians,2,1,1,0,312,338,2026-01-07T06:37:18.867Z
2011,11,Delhi Daredevils,2,Deccan Chargers,2,1,1,0,331,343,2026-01-07T06:37:18.867Z
2015,7,Kolkata Knight Riders,1,Chennai Super Kings,2,1,1,0,301,299,2026-01-07T06:37:18.867Z
2009,9,Kings XI Punjab,6,Royal Challengers Bangalore,2,1,1,0,310,313,2026-01-07T06:37:18.867Z
2012,6,Royal Challengers Bangalore,2,Deccan Chargers,2,1,1,0,308,313,2026-01-07T06:37:18.867Z
2010,7,Kolkata Knight Riders,4,Rajasthan Royals,2,1,1,0,267,300,2026-01-07T06:37:18.867Z
2014,1,Chennai Super Kings,12,Mumbai Indians,3,3,0,0,478,471,2026-01-07T06:37:18.867Z
2015,4,Rajasthan Royals,0,Sunrisers Hyderabad,2,1,1,0,325,328,2026-01-07T06:37:18.867Z
2015,11,Delhi Daredevils,9,Kings XI Punjab,2,2,0,0,288,283,2026-01-07T06:37:18.867Z
2008,9,Kings XI Punjab,2,Deccan Chargers,2,2,0,0,345,339,2026-01-07T06:37:18.867Z
2013,11,Delhi Daredevils,12,Mumbai Indians,2,1,1,0,330,370,2026-01-07T06:37:18.867Z
2012,7,Kolkata Knight Riders,4,Rajasthan Royals,2,1,1,0,279,295,2026-01-07T06:37:18.867Z
2008,6,Royal Challengers Bangalore,7,Kolkata Knight Riders,2,0,2,0,206,351,2026-01-07T06:37:18.867Z
2017,7,Kolkata Knight Riders,11,Delhi Daredevils,2,2,0,0,330,328,2026-01-07T06:37:18.867Z
2014,12,Mumbai Indians,0,Sunrisers Hyderabad,2,1,1,0,317,329,2026-01-07T06:37:18.867Z
2015,9,Kings XI Punjab,4,Rajasthan Royals,2,1,1,0,327,353,2026-01-07T06:37:18.867Z
2013,7,Kolkata Knight Riders,4,Rajasthan Royals,2,1,1,0,258,276,2026-01-07T06:37:18.867Z
2016,11,Delhi Daredevils,5,Gujarat Lions,2,1,1,0,321,321,2026-01-07T06:37:18.867Z
2011,6,Royal Challengers Bangalore,2,Deccan Chargers,1,0,1,0,142,175,2026-01-07T06:37:18.867Z
2012,10,Pune Warriors,2,Deccan Chargers,2,0,2,0,332,363,2026-01-07T06:37:18.867Z
2009,2,Deccan Chargers,7,Kolkata Knight Riders,2,2,0,0,270,261,2026-01-07T06:37:18.867Z
2017,0,Sunrisers Hyderabad,5,Gujarat Lions,2,2,0,0,298,289,2026-01-07T06:37:18.867Z
2011,10,Pune Warriors,6,Royal Challengers Bangalore,1,0,1,0,155,181,2026-01-07T06:37:18.867Z
2017,5,Gujarat Lions,6,Royal Challengers Bangalore,2,1,1,0,327,347,2026-01-07T06:37:18.867Z
2014,7,Kolkata Knight Riders,4,Rajasthan Royals,2,0,2,0,312,322,2026-01-07T06:37:18.867Z
2016,5,Gujarat Lions,7,Kolkata Knight Riders,2,2,0,0,289,282,2026-01-07T06:37:18.867Z
2011,7,Kolkata Knight Riders,9,Kings XI Punjab,1,1,0,0,120,119,2026-01-07T06:37:18.867Z
2009,2,Deccan Chargers,1,Chennai Super Kings,2,1,1,0,269,343,2026-01-07T06:37:18.867Z
2009,1,Chennai Super Kings,12,Mumbai Indians,2,1,1,0,297,312,2026-01-07T06:37:18.867Z
2009,4,Rajasthan Royals,11,Delhi Daredevils,2,1,1,0,283,293,2026-01-07T06:37:18.867Z
2015,7,Kolkata Knight Riders,9,Kings XI Punjab,2,2,0,0,343,338,2026-01-07T06:37:18.867Z
2016,9,Kings XI Punjab,12,Mumbai Indians,2,1,1,0,291,313,2026-01-07T06:37:18.867Z
2012,11,Delhi Daredevils,10,Pune Warriors,2,1,1,0,320,338,2026-01-07T06:37:18.867Z
2013,10,Pune Warriors,0,Sunrisers Hyderabad,2,0,2,0,212,245,2026-01-07T06:37:18.867Z
2011,10,Pune Warriors,9,Kings XI Punjab,2,2,0,0,233,231,2026-01-07T06:37:18.867Z
2014,9,Kings XI Punjab,11,Delhi Daredevils,2,2,0,0,284,279,2026-01-07T06:37:18.867Z
2008,2,Deccan Chargers,12,Mumbai Indians,2,1,1,0,308,332,2026-01-07T06:37:18.867Z
2017,7,Kolkata Knight Riders,9,Kings XI Punjab,2,1,1,0,324,337,2026-01-07T06:37:18.867Z
2011,4,Rajasthan Royals,2,Deccan Chargers,1,1,0,0,141,137,2026-01-07T06:37:18.867Z
2017,11,Delhi Daredevils,5,Gujarat Lions,2,2,0,0,411,403,2026-01-07T06:37:18.867Z
2011,11,Delhi Daredevils,1,Chennai Super Kings,1,0,1,0,158,176,2026-01-07T06:37:18.867Z
2017,9,Kings XI Punjab,11,Delhi Daredevils,2,1,1,0,205,255,2026-01-07T06:37:18.867Z
2009,6,Royal Challengers Bangalore,7,Kolkata Knight Riders,2,2,0,0,319,312,2026-01-07T06:37:18.867Z
2010,2,Deccan Chargers,7,Kolkata Knight Riders,2,0,2,0,307,342,2026-01-07T06:37:18.867Z
2010,6,Royal Challengers Bangalore,11,Delhi Daredevils,2,0,2,0,313,367,2026-01-07T06:37:18.867Z
2013,1,Chennai Super Kings,6,Royal Challengers Bangalore,2,1,1,0,248,271,2026-01-07T06:37:18.867Z
2016,7,Kolkata Knight Riders,11,Delhi Daredevils,2,1,1,0,258,284,2026-01-07T06:37:18.867Z
2009,4,Rajasthan Royals,6,Royal Challengers Bangalore,2,1,1,0,165,238,2026-01-07T06:37:18.867Z
2011,4,Rajasthan Royals,10,Pune Warriors,1,1,0,0,144,143,2026-01-07T06:37:18.867Z
2012,7,Kolkata Knight Riders,9,Kings XI Punjab,2,1,1,0,259,258,2026-01-07T06:37:18.867Z
2011,11,Delhi Daredevils,7,Kolkata Knight Riders,1,0,1,0,131,148,2026-01-07T06:37:18.867Z
2012,6,Royal Challengers Bangalore,7,Kolkata Knight Riders,2,0,2,0,266,355,2026-01-07T06:37:18.867Z
2016,0,Sunrisers Hyderabad,9,Kings XI Punjab,2,2,0,0,326,322,2026-01-07T06:37:18.867Z
2008,4,Rajasthan Royals,9,Kings XI Punjab,2,1,1,0,348,387,2026-01-07T06:37:18.867Z
2013,9,Kings XI Punjab,10,Pune Warriors,2,2,0,0,286,284,2026-01-07T06:37:18.867Z
2016,8,Rising Pune Supergiants,0,Sunrisers Hyderabad,2,1,1,0,227,255,2026-01-07T06:37:18.867Z
2010,2,Deccan Chargers,12,Mumbai Indians,2,0,2,0,246,350,2026-01-07T06:37:18.867Z
2011,3,Kochi Tuskers Kerala,2,Deccan Chargers,1,0,1,0,74,129,2026-01-07T06:37:18.867Z
2012,11,Delhi Daredevils,9,Kings XI Punjab,2,2,0,0,285,277,2026-01-07T06:37:18.867Z
2012,10,Pune Warriors,7,Kolkata Knight Riders,2,0,2,0,245,286,2026-01-07T06:37:18.867Z
2016,9,Kings XI Punjab,6,Royal Challengers Bangalore,2,0,2,0,294,386,2026-01-07T06:37:18.867Z
2014,6,Royal Challengers Bangalore,7,Kolkata Knight Riders,2,0,2,0,313,345,2026-01-07T06:37:18.867Z
2012,12,Mumbai Indians,2,Deccan Chargers,2,2,0,0,243,238,2026-01-07T06:37:18.867Z
2012,1,Chennai Super Kings,6,Royal Challengers Bangalore,1,1,0,0,208,205,2026-01-07T06:37:18.867Z
2011,4,Rajasthan Royals,12,Mumbai Indians,2,2,0,0,229,227,2026-01-07T06:37:18.867Z
2011,1,Chennai Super Kings,12,Mumbai Indians,1,0,1,0,156,164,2026-01-07T06:37:18.867Z
2014,4,Rajasthan Royals,0,Sunrisers Hyderabad,2,1,1,0,237,267,2026-01-07T06:37:18.867Z
2017,11,Delhi Daredevils,12,Mumbai Indians,2,0,2,0,194,354,2026-01-07T06:37:18.867Z
2015,6,Royal Challengers Bangalore,7,Kolkata Knight Riders,2,2,0,0,294,288,2026-01-07T06:37:18.867Z
2008,12,Mumbai Indians,7,Kolkata Knight Riders,2,2,0,0,206,204,2026-01-07T06:37:18.867Z
2011,9,Kings XI Punjab,2,Deccan Chargers,2,1,1,0,282,363,2026-01-07T06:37:18.867Z
2012,11,Delhi Daredevils,6,Royal Challengers Bangalore,2,0,2,0,331,372,2026-01-07T06:37:18.867Z
2012,2,Deccan Chargers,1,Chennai Super Kings,2,0,2,0,269,353,2026-01-07T06:37:18.867Z
2017,11,Delhi Daredevils,0,Sunrisers Hyderabad,2,1,1,0,365,376,2026-01-07T06:37:18.867Z
2014,6,Royal Challengers Bangalore,12,Mumbai Indians,2,1,1,0,284,302,2026-01-07T06:37:18.867Z
2017,9,Kings XI Punjab,0,Sunrisers Hyderabad,2,0,2,0,335,366,2026-01-07T06:37:18.867Z
2011,4,Rajasthan Royals,11,Delhi Daredevils,1,1,0,0,152,151,2026-01-07T06:37:18.867Z
2011,9,Kings XI Punjab,1,Chennai Super Kings,1,1,0,0,193,188,2026-01-07T06:37:18.867Z
2011,3,Kochi Tuskers Kerala,11,Delhi Daredevils,2,1,1,0,260,297,2026-01-07T06:37:18.867Z
2009,12,Mumbai Indians,4,Rajasthan Royals,1,0,1,0,143,145,2026-01-07T06:37:18.867Z
2008,4,Rajasthan Royals,2,Deccan Chargers,2,2,0,0,358,354,2026-01-07T06:37:18.867Z
2012,10,Pune Warriors,1,Chennai Super Kings,2,1,1,0,307,319,2026-01-07T06:37:18.867Z
2011,3,Kochi Tuskers Kerala,12,Mumbai Indians,1,1,0,0,184,182,2026-01-07T06:37:18.867Z
2016,0,Sunrisers Hyderabad,5,Gujarat Lions,3,3,0,0,429,423,2026-01-07T06:37:18.867Z
2008,7,Kolkata Knight Riders,9,Kings XI Punjab,2,1,1,0,344,352,2026-01-07T06:37:18.867Z
2017,8,Rising Pune Supergiants,11,Delhi Daredevils,2,0,2,0,269,373,2026-01-07T06:37:18.867Z
2009,4,Rajasthan Royals,2,Deccan Chargers,2,1,1,0,255,307,2026-01-07T06:37:18.867Z
2012,9,Kings XI Punjab,4,Rajasthan Royals,2,0,2,0,294,368,2026-01-07T06:37:18.867Z
2010,4,Rajasthan Royals,12,Mumbai Indians,2,0,2,0,345,386,2026-01-07T06:37:18.867Z
2017,6,Royal Challengers Bangalore,0,Sunrisers Hyderabad,1,0,1,0,172,207,2026-01-07T06:37:18.867Z
2010,12,Mumbai Indians,1,Chennai Super Kings,3,1,2,0,468,513,2026-01-07T06:37:18.867Z
2011,6,Royal Challengers Bangalore,4,Rajasthan Royals,1,1,0,0,151,146,2026-01-07T06:37:18.867Z
2014,7,Kolkata Knight Riders,0,Sunrisers Hyderabad,2,2,0,0,307,302,2026-01-07T06:37:18.867Z
2017,12,Mumbai Indians,6,Royal Challengers Bangalore,2,2,0,0,310,304,2026-01-07T06:37:18.867Z
2009,12,Mumbai Indians,2,Deccan Chargers,2,0,2,0,282,313,2026-01-07T06:37:18.867Z
2010,1,Chennai Super Kings,9,Kings XI Punjab,2,1,1,0,331,328,2026-01-07T06:37:18.867Z
2012,12,Mumbai Indians,1,Chennai Super Kings,3,2,1,0,438,472,2026-01-07T06:37:18.867Z
2015,7,Kolkata Knight Riders,4,Rajasthan Royals,1,0,1,0,190,199,2026-01-07T06:37:18.867Z
