season,teamsk,teamname,opponentsk,opponentname,matchesplayed,wins,losses,noresults,runsscored,runsconceded,ingestionts
2016,9,Kings XI Punjab,7,Kolkata Knight Riders,2,0,2,0,295,305,2026-01-07T06:37:18.867Z
2015,12,Mumbai Indians,4,Rajasthan Royals,2,1,1,0,351,344,2026-01-07T06:37:18.867Z
2011,2,Deccan Chargers,6,Royal Challengers Bangalore,1,1,0,0,175,142,2026-01-07T06:37:18.867Z
2012,4,Rajasthan Royals,7,Kolkata Knight Riders,2,1,1,0,295,279,2026-01-07T06:37:18.867Z
2009,6,Royal Challengers Bangalore,2,Deccan Chargers,3,1,2,0,467,485,2026-01-07T06:37:18.867Z
2011,6,Royal Challengers Bangalore,12,Mumbai Indians,2,1,1,0,325,285,2026-01-07T06:37:18.867Z
2009,11,Delhi Daredevils,9,Kings XI Punjab,2,1,1,0,178,227,2026-01-07T06:37:18.867Z
2016,8,Rising Pune Supergiants,9,Kings XI Punjab,2,1,1,0,325,325,2026-01-07T06:37:18.867Z
2010,9,Kings XI Punjab,11,Delhi Daredevils,2,1,1,0,254,257,2026-01-07T06:37:18.867Z
2012,2,Deccan Chargers,12,Mumbai Indians,2,0,2,0,238,243,2026-01-07T06:37:18.867Z
2014,9,Kings XI Punjab,6,Royal Challengers Bangalore,2,2,0,0,325,290,2026-01-07T06:37:18.867Z
2008,2,Deccan Chargers,4,Rajasthan Royals,2,0,2,0,354,358,2026-01-07T06:37:18.867Z
2014,11,Delhi Daredevils,7,Kolkata Knight Riders,2,1,1,0,327,327,2026-01-07T06:37:18.867Z
2016,6,Royal Challengers Bangalore,0,Sunrisers Hyderabad,3,1,2,0,606,584,2026-01-07T06:37:18.867Z
2009,9,Kings XI Punjab,2,Deccan Chargers,2,2,0,0,303,301,2026-01-07T06:37:18.867Z
2011,1,Chennai Super Kings,6,Royal Challengers Bangalore,4,3,1,0,693,613,2026-01-07T06:37:18.867Z
2009,7,Kolkata Knight Riders,9,Kings XI Punjab,2,1,1,0,232,312,2026-01-07T06:37:18.867Z
2011,1,Chennai Super Kings,7,Kolkata Knight Riders,2,1,1,0,267,212,2026-01-07T06:37:18.867Z
2011,9,Kings XI Punjab,11,Delhi Daredevils,2,1,1,0,372,372,2026-01-07T06:37:18.867Z
2008,7,Kolkata Knight Riders,1,Chennai Super Kings,2,0,2,0,296,207,2026-01-07T06:37:18.867Z
2013,9,Kings XI Punjab,4,Rajasthan Royals,2,0,2,0,269,273,2026-01-07T06:37:18.867Z
2010,7,Kolkata Knight Riders,9,Kings XI Punjab,2,1,1,0,383,348,2026-01-07T06:37:18.867Z
2014,11,Delhi Daredevils,1,Chennai Super Kings,2,0,2,0,262,358,2026-01-07T06:37:18.867Z
2014,7,Kolkata Knight Riders,11,Delhi Daredevils,2,1,1,0,327,327,2026-01-07T06:37:18.867Z
2015,9,Kings XI Punjab,1,Chennai Super Kings,2,0,2,0,225,326,2026-01-07T06:37:18.867Z
2008,6,Royal Challengers Bangalore,12,Mumbai Indians,2,1,1,0,288,291,2026-01-07T06:37:18.867Z
2011,3,Kochi Tuskers Kerala,9,Kings XI Punjab,1,0,1,0,178,181,2026-01-07T06:37:18.867Z
2017,5,Gujarat Lions,0,Sunrisers Hyderabad,2,0,2,0,289,298,2026-01-07T06:37:18.867Z
2017,9,Kings XI Punjab,5,Gujarat Lions,2,1,1,0,377,354,2026-01-07T06:37:18.867Z
2011,1,Chennai Super Kings,11,Delhi Daredevils,1,1,0,0,176,158,2026-01-07T06:37:18.867Z
2012,10,Pune Warriors,4,Rajasthan Royals,2,0,2,0,250,296,2026-01-07T06:37:18.867Z
2016,0,Sunrisers Hyderabad,6,Royal Challengers Bangalore,3,2,1,0,584,606,2026-01-07T06:37:18.867Z
2008,11,Delhi Daredevils,9,Kings XI Punjab,2,0,2,0,276,256,2026-01-07T06:37:18.867Z
2009,2,Deccan Chargers,12,Mumbai Indians,2,2,0,0,313,282,2026-01-07T06:37:18.867Z
2012,2,Deccan Chargers,6,Royal Challengers Bangalore,2,1,1,0,313,308,2026-01-07T06:37:18.867Z
2013,1,Chennai Super Kings,10,Pune Warriors,2,1,1,0,299,286,2026-01-07T06:37:18.867Z
2011,12,Mumbai Indians,4,Rajasthan Royals,2,0,2,0,227,229,2026-01-07T06:37:18.867Z
2012,11,Delhi Daredevils,1,Chennai Super Kings,3,1,2,0,361,447,2026-01-07T06:37:18.867Z
2014,1,Chennai Super Kings,9,Kings XI Punjab,3,0,3,0,594,663,2026-01-07T06:37:18.867Z
2014,7,Kolkata Knight Riders,6,Royal Challengers Bangalore,2,2,0,0,345,313,2026-01-07T06:37:18.867Z
2016,0,Sunrisers Hyderabad,11,Delhi Daredevils,2,0,2,0,304,311,2026-01-07T06:37:18.867Z
2013,6,Royal Challengers Bangalore,12,Mumbai Indians,2,1,1,0,292,348,2026-01-07T06:37:18.867Z
2015,9,Kings XI Punjab,7,Kolkata Knight Riders,2,0,2,0,338,343,2026-01-07T06:37:18.867Z
2017,7,Kolkata Knight Riders,5,Gujarat Lions,2,1,1,0,371,371,2026-01-07T06:37:18.867Z
